amazon_order_id,customer_id,product_id,purchase_date,quantity,item_price,shipping_price,gift_wrap_price,item_tax,ship_service_level,ship_city,ship_state
AMZ-708-8652971-3473868,CUST_09958,PROD_637,2025-12-22T12:56:49Z,3,155.27,0.0,0.0,55.9,Standard,Houston,TX
AMZ-710-2096658-6863886,CUST_07487,PROD_044,2025-09-09T02:39:19Z,3,135.59,3.99,0.0,48.81,SecondDay,New York,NY
AMZ-871-3644485-1927735,CUST_09954,PROD_017,2025-12-02T15:30:01Z,2,22.89,0.0,0.0,5.49,Standard,Bangalore,KA
AMZ-320-9983795-4554726,CUST_09081,PROD_686,2025-11-23T14:58:42Z,1,97.98,3.99,0.0,11.76,Expedited,Houston,TX
AMZ-871-2632661-7886853,CUST_08053,PROD_530,2025-02-09T02:34:03Z,2,15.69,3.99,0.0,3.77,SecondDay,Mumbai,MH
AMZ-513-7500713-1332937,CUST_06274,PROD_541,2025-04-10T18:12:32Z,1,123.66,5.99,0.0,14.84,SecondDay,Houston,TX
AMZ-331-5346939-8413421,CUST_02691,PROD_805,2026-02-24T06:26:17Z,2,94.53,5.99,0.0,22.69,Expedited,Seattle,WA
AMZ-745-3864035-2662631,CUST_04319,PROD_238,2026-03-22T08:15:34Z,1,308.37,5.99,2.99,37.0,SecondDay,New York,NY
AMZ-365-6715160-4233819,CUST_05911,PROD_177,2026-05-09T15:56:54Z,3,118.43,0.0,0.0,42.63,Standard,Mumbai,MH
AMZ-908-9379832-7838496,CUST_05481,PROD_004,2026-01-14T15:22:17Z,3,14.97,5.99,2.99,5.39,SecondDay,Seattle,WA
AMZ-223-3791975-5033205,CUST_04790,PROD_467,2025-05-23T10:11:20Z,1,217.49,0.0,0.0,26.1,Standard,Seattle,WA
AMZ-484-1997737-7636306,CUST_07787,PROD_398,2025-11-07T08:39:50Z,1,179.52,0.0,2.99,21.54,Standard,Seattle,WA
AMZ-667-7862764-4322536,CUST_09994,PROD_233,2026-05-22T20:40:52Z,1,67.78,0.0,0.0,8.13,Standard,Delhi,DL
AMZ-191-7854416-6807429,CUST_00415,PROD_938,2026-05-22T09:41:17Z,3,86.02,0.0,0.0,30.97,SecondDay,Mumbai,MH
AMZ-897-9727393-5937545,CUST_06695,PROD_022,2026-05-28T16:58:35Z,2,229.55,3.99,0.0,55.09,Standard,Mumbai,MH
AMZ-337-3871668-2515537,CUST_05392,PROD_948,2025-07-10T20:00:48Z,2,188.32,3.99,0.0,45.2,SecondDay,Seattle,WA
AMZ-101-3516179-6806814,CUST_03954,PROD_917,2025-05-19T23:48:05Z,1,179.32,0.0,0.0,21.52,Standard,Seattle,WA
AMZ-410-3323114-1629264,CUST_07667,PROD_717,2026-02-25T19:23:54Z,3,39.79,0.0,0.0,14.32,Standard,Bangalore,KA
