flipkart_order_id,customer_id,product_id,order_timestamp,qty,price_per_unit,discount_percent,delivery_charges,payment_type,order_status
FLK1528998636153143,CUST_07740,PROD_327,24/04/2025 12:04,3,262.4,5,40.0,Prepaid,Delivered
FLK5331563094788929,CUST_03691,PROD_569,16/03/2025 02:34,4,278.76,0,40.0,COD,Delivered
FLK4757470179509029,CUST_09492,PROD_546,26/03/2025 06:26,1,83.25,20,50.0,Prepaid,Delivered
FLK3145733758811755,CUST_05435,PROD_339,26/09/2025 13:53,2,213.91,15,50.0,Prepaid,Delivered
FLK3257342153974000,CUST_05281,PROD_799,12/07/2025 00:21,1,76.42,0,40.0,Prepaid,Delivered
FLK7869797420575940,CUST_02834,PROD_095,20/03/2025 21:33,3,154.82,10,0.0,Prepaid,Cancelled
FLK7722816948802216,CUST_00118,PROD_998,10/09/2025 08:23,3,279.61,10,50.0,COD,Delivered
FLK7753996686302690,CUST_08479,PROD_905,10/04/2026 23:17,3,56.4,0,40.0,COD,Delivered
FLK4262481989952102,CUST_00272,PROD_197,06/12/2025 22:45,4,117.49,0,0.0,COD,Delivered
FLK8221307114411655,CUST_06832,PROD_404,22/06/2025 03:39,4,130.02,10,0.0,Prepaid,Returned
FLK6602055170739339,CUST_08377,PROD_186,08/05/2026 12:00,1,221.05,0,40.0,COD,Delivered
FLK3138459676018884,CUST_07119,PROD_098,15/08/2025 13:56,4,69.66,0,0.0,Prepaid,Returned
FLK5705408889714139,CUST_06513,PROD_703,04/08/2025 01:57,3,264.19,20,40.0,COD,Returned
FLK8947728102578745,CUST_08810,PROD_865,14/08/2025 00:02,2,187.66,20,50.0,Prepaid,Delivered
FLK9818314205473406,CUST_04518,PROD_714,29/10/2025 12:29,4,19.4,10,40.0,Prepaid,Delivered
FLK3164030188268529,CUST_04672,PROD_915,22/08/2025 01:03,3,179.22,5,50.0,COD,Delivered
FLK8229247046809509,CUST_02100,PROD_075,11/04/2025 11:34,1,126.56,0,50.0,COD,Delivered
FLK6013183593662386,CUST_07106,PROD_963,19/12/2025 15:15,1,272.82,20,50.0,Prepaid,Returned
FLK2442586360376934,CUST_08129,PROD_658,06/03/2026 07:59,3,253.45,0,0.0,Prepaid,Delivered
FLK7449384893688038,CUST_00200,PROD_180,16/10/2025 23:43,3,30.46,10,50.0,Prepaid,Delivered
FLK1467191988351043,CUST_08692,PROD_021,06/03/2025 18:37,1,72.48,15,40.0,Prepaid,Returned
FLK9793693175230497,CUST_09823,PROD_423,16/03/2025 22:27,2,149.31,0,0.0,Prepaid,Delivered
