product_id,stock_on_hand,reserved_stock,warehouse_location,restock_threshold,last_updated
PROD_001,20,7,WH-Mumbai,56,2026-07-10 04:00:16
PROD_002,145,14,WH-Bangalore,24,2026-07-08 05:00:16
PROD_003,232,2,WH-Texas,44,2026-07-08 15:00:16
PROD_004,253,36,WH-Delhi,51,2026-07-09 23:00:16
PROD_005,245,48,WH-Delhi,59,2026-07-09 00:00:16
PROD_006,127,6,WH-London,56,2026-07-08 14:00:16
PROD_007,289,16,WH-Bangalore,34,2026-07-08 08:00:16
PROD_008,330,40,WH-Mumbai,55,2026-07-10 03:00:16
PROD_009,103,34,WH-Delhi,26,2026-07-08 17:00:16
PROD_010,251,23,WH-Delhi,23,2026-07-08 23:00:16
PROD_011,492,50,WH-Texas,37,2026-07-09 21:00:16
PROD_012,273,29,WH-Delhi,58,2026-07-09 15:00:16
PROD_013,445,23,WH-Bangalore,42,2026-07-08 11:00:16
PROD_014,371,32,WH-Texas,22,2026-07-09 06:00:16
PROD_015,17,11,WH-Texas,54,2026-07-08 20:00:16
PROD_016,87,27,WH-Bangalore,41,2026-07-08 15:00:16
PROD_017,354,9,WH-Texas,26,2026-07-09 12:00:16
PROD_018,286,8,WH-Mumbai,54,2026-07-09 09:00:16
PROD_019,248,44,WH-London,52,2026-07-09 04:00:16
PROD_020,169,7,WH-London,54,2026-07-08 05:00:16
PROD_021,362,43,WH-Delhi,26,2026-07-10 03:00:16
PROD_022,88,26,WH-Mumbai,53,2026-07-08 17:00:16
PROD_023,179,29,WH-London,21,2026-07-09 06:00:16
PROD_024,439,23,WH-Bangalore,49,2026-07-09 11:00:16
PROD_025,465,26,WH-Texas,47,2026-07-09 06:00:16
PROD_026,248,49,WH-London,17,2026-07-08 13:00:16
PROD_027,426,45,WH-London,28,2026-07-09 07:00:16
PROD_028,472,47,WH-London,19,2026-07-09 21:00:16
PROD_029,217,38,WH-Texas,21,2026-07-08 22:00:16
PROD_030,284,31,WH-London,56,2026-07-08 22:00:16
PROD_031,476,50,WH-Bangalore,36,2026-07-09 05:00:16
PROD_032,95,10,WH-Bangalore,60,2026-07-09 12:00:16
PROD_033,140,6,WH-Texas,34,2026-07-08 17:00:16
PROD_034,181,20,WH-London,20,2026-07-09 21:00:16
PROD_035,255,12,WH-London,15,2026-07-08 07:00:16
PROD_036,177,26,WH-Delhi,27,2026-07-10 02:00:16
PROD_037,185,8,WH-Mumbai,41,2026-07-09 17:00:16
PROD_038,61,12,WH-Mumbai,40,2026-07-09 16:00:16
PROD_039,337,10,WH-Texas,27,2026-07-09 07:00:16
PROD_040,238,23,WH-London,31,2026-07-09 22:00:16
PROD_041,117,12,WH-Bangalore,60,2026-07-08 17:00:16
PROD_042,216,19,WH-Texas,30,2026-07-09 00:00:16
PROD_043,433,12,WH-Bangalore,30,2026-07-08 21:00:16
PROD_044,131,15,WH-Delhi,55,2026-07-08 14:00:16
PROD_045,119,3,WH-Delhi,50,2026-07-09 06:00:16
PROD_046,449,19,WH-Bangalore,58,2026-07-09 11:00:16
PROD_047,189,22,WH-Mumbai,38,2026-07-09 17:00:16
PROD_048,373,5,WH-London,24,2026-07-08 12:00:16
PROD_049,60,41,WH-Mumbai,58,2026-07-09 15:00:16
PROD_050,474,20,WH-Bangalore,48,2026-07-08 09:00:16
