order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_fee,taxes,payment_method,fulfillment_status,refund_flag
SH_1000001,CUST_05872,PROD_404,2025-09-17 16:59:55,2,130.02,52.01,10.0,37.45,Credit Card,fulfilled,0
SH_1000002,CUST_02890,PROD_330,2025-02-02 10:15:42,2,115.27,0.0,10.0,41.5,PayPal,cancelled,0
SH_1000003,CUST_07969,PROD_947,2026-05-19 06:58:38,5,173.7,0.0,0.0,156.33,PayPal,fulfilled,0
SH_1000004,CUST_01167,PROD_773,2026-05-01 21:42:29,4,141.24,84.74,0.0,86.44,PayPal,cancelled,0
SH_1000005,CUST_03994,PROD_904,2025-07-14 03:06:09,5,75.07,37.53,10.0,60.81,PayPal,fulfilled,1
SH_1000006,CUST_03401,PROD_071,2026-04-14 11:54:13,3,195.55,58.67,0.0,95.04,Gift Card,cancelled,0
SH_1000007,CUST_07191,PROD_244,2025-03-13 03:09:30,1,155.7,0.0,10.0,28.03,Gift Card,unfulfilled,0
SH_1000008,CUST_07744,PROD_534,2026-02-04 15:37:11,3,194.93,0.0,5.0,105.26,UPI,fulfilled,0
SH_1000009,CUST_02952,PROD_852,2025-02-22 01:47:02,5,144.77,0.0,0.0,130.29,PayPal,fulfilled,0
SH_1000010,CUST_08457,PROD_425,2025-03-09 09:00:11,5,152.39,0.0,5.0,137.15,Gift Card,unfulfilled,0
SH_1000011,CUST_06075,PROD_086,2025-07-22 03:50:32,3,239.78,143.87,10.0,103.58,Apple Pay,fulfilled,0
SH_1000012,CUST_05054,PROD_013,2025-04-08 23:23:23,4,129.63,0.0,0.0,93.33,UPI,fulfilled,0
SH_1000013,CUST_09840,PROD_364,2025-11-21 07:06:07,3,276.21,0.0,10.0,149.15,Apple Pay,cancelled,0
SH_1000014,CUST_00970,PROD_333,2025-05-20 16:40:33,3,206.74,93.03,10.0,94.89,UPI,fulfilled,0
SH_1000015,CUST_02710,PROD_385,2026-04-14 00:09:17,3,185.99,0.0,10.0,100.43,Apple Pay,cancelled,0
SH_1000016,CUST_03395,PROD_976,2025-09-20 13:27:02,3,93.66,42.15,10.0,42.99,Gift Card,unfulfilled,0
SH_1000017,CUST_02154,PROD_251,2026-05-09 18:15:47,2,141.71,42.51,5.0,43.36,PayPal,fulfilled,0
SH_1000018,CUST_02818,PROD_454,2025-02-20 03:09:30,1,277.76,0.0,5.0,50.0,UPI,fulfilled,0
SH_1000019,CUST_06025,PROD_603,2025-09-22 07:42:22,3,140.04,0.0,10.0,75.62,Credit Card,fulfilled,1
SH_1000020,CUST_09761,PROD_600,2026-03-16 07:03:02,4,236.69,0.0,0.0,170.42,Credit Card,fulfilled,0
SH_1000021,CUST_07276,PROD_828,2026-05-18 03:49:38,1,206.45,0.0,10.0,37.16,PayPal,unfulfilled,0
SH_1000022,CUST_04969,PROD_185,2025-04-11 08:51:22,5,77.25,57.94,0.0,59.1,Credit Card,fulfilled,0
SH_1000023,CUST_05823,PROD_580,2025-10-10 02:10:16,5,27.77,0.0,10.0,24.99,Credit Card,unfulfilled,0
SH_1000024,CUST_08587,PROD_567,2025-12-21 15:05:59,2,272.73,109.09,5.0,78.55,Apple Pay,unfulfilled,0
SH_1000025,CUST_08897,PROD_164,2025-04-12 05:28:06,3,33.56,15.1,5.0,15.4,UPI,unfulfilled,0
SH_1000026,CUST_03177,PROD_327,2025-08-20 14:30:55,3,262.4,0.0,0.0,141.7,Credit Card,cancelled,0
SH_1000027,CUST_05526,PROD_439,2025-03-09 11:20:45,4,235.08,188.06,0.0,135.41,Apple Pay,fulfilled,0
SH_1000028,CUST_09586,PROD_973,2025-02-04 23:30:16,3,67.04,40.22,5.0,28.96,Credit Card,cancelled,0
SH_1000029,CUST_07488,PROD_842,2026-02-20 13:19:29,2,25.9,0.0,10.0,9.32,Credit Card,fulfilled,0
SH_1000030,CUST_02584,PROD_922,2026-01-28 19:59:07,3,44.39,26.63,10.0,19.18,Apple Pay,fulfilled,0
SH_1000031,CUST_05823,PROD_733,2025-08-18 04:49:14,4,105.19,84.15,0.0,60.59,Credit Card,fulfilled,0
SH_1000032,CUST_08412,PROD_680,2025-09-08 22:19:50,1,128.27,0.0,0.0,23.09,Gift Card,cancelled,0
SH_1000033,CUST_02910,PROD_220,2025-07-05 07:50:21,1,298.5,59.7,0.0,42.98,UPI,fulfilled,0
SH_1000034,CUST_08581,PROD_409,2026-05-24 08:25:16,4,39.91,31.93,10.0,22.99,Gift Card,fulfilled,0
SH_1000035,CUST_03092,PROD_351,2025-09-30 20:39:47,4,43.54,0.0,5.0,31.35,PayPal,unfulfilled,0
SH_1000036,CUST_04878,PROD_471,2025-02-01 02:13:53,2,179.6,0.0,10.0,64.66,Credit Card,fulfilled,0
SH_1000037,CUST_09882,PROD_830,2025-07-28 13:34:27,3,127.39,57.33,0.0,58.47,Credit Card,cancelled,0
SH_1000038,CUST_08633,PROD_863,2025-10-02 21:35:51,4,222.72,133.63,5.0,136.31,Gift Card,unfulfilled,0
SH_1000039,CUST_03241,PROD_118,2026-05-24 08:32:04,4,281.89,0.0,5.0,202.96,Credit Card,unfulfilled,0
SH_1000040,CUST_06472,PROD_296,2025-11-21 10:22:50,2,27.25,5.45,0.0,8.83,PayPal,fulfilled,0
SH_1000041,CUST_08780,PROD_517,2025-04-25 14:14:16,5,57.86,0.0,5.0,52.07,Apple Pay,fulfilled,0
SH_1000042,CUST_00448,PROD_158,2026-04-30 18:34:00,2,119.43,47.77,0.0,34.4,Credit Card,fulfilled,0
SH_1000043,CUST_01933,PROD_933,2025-06-11 06:16:53,2,137.91,0.0,10.0,49.65,Credit Card,cancelled,0
SH_1000044,CUST_09681,PROD_685,2026-02-18 14:21:44,5,150.32,75.16,0.0,121.76,UPI,fulfilled,0
SH_1000045,CUST_08153,PROD_641,2025-11-12 15:44:19,3,140.97,0.0,0.0,76.12,Credit Card,fulfilled,0
SH_1000046,CUST_02909,PROD_042,2025-07-13 23:09:01,1,13.9,2.78,10.0,2.0,Apple Pay,cancelled,0
SH_1000047,CUST_09999,PROD_367,2025-05-13 09:32:27,3,317.85,0.0,0.0,171.64,Credit Card,unfulfilled,0
SH_1000048,CUST_04611,PROD_201,2025-09-10 17:11:37,5,266.02,0.0,5.0,239.42,Apple Pay,unfulfilled,0
SH_1000049,CUST_02358,PROD_283,2025-10-24 12:15:51,2,245.86,0.0,10.0,88.51,Gift Card,fulfilled,0
SH_1000050,CUST_06143,PROD_684,2026-06-14 21:40:18,4,259.37,0.0,10.0,186.75,UPI,fulfilled,0
SH_1000051,CUST_02251,PROD_922,2026-01-16 08:30:28,2,44.39,13.32,10.0,13.58,Apple Pay,cancelled,0
SH_1000052,CUST_08493,PROD_824,2025-02-27 01:30:16,5,277.79,277.79,5.0,200.01,Gift Card,unfulfilled,0
SH_1000053,CUST_06024,PROD_216,2026-03-28 05:25:45,5,125.1,0.0,5.0,112.59,Credit Card,fulfilled,0
SH_1000054,CUST_06231,PROD_817,2025-11-19 03:01:28,4,266.96,0.0,5.0,192.21,Apple Pay,cancelled,0
SH_1000055,CUST_03784,PROD_430,2025-10-26 03:07:44,5,64.94,0.0,0.0,58.45,Credit Card,fulfilled,0
SH_1000056,CUST_08388,PROD_926,2025-08-12 20:23:51,3,39.92,0.0,5.0,21.56,PayPal,cancelled,0
SH_1000057,CUST_03588,PROD_087,2025-12-05 02:32:37,3,130.49,0.0,10.0,70.46,Apple Pay,cancelled,0
SH_1000058,CUST_01180,PROD_850,2025-08-03 01:33:47,2,117.87,0.0,0.0,42.43,PayPal,fulfilled,0
SH_1000059,CUST_09848,PROD_282,2025-11-30 03:17:22,3,24.53,0.0,0.0,13.25,Apple Pay,cancelled,0
SH_1000060,CUST_04630,PROD_651,2026-05-15 05:40:36,1,211.91,0.0,5.0,38.14,PayPal,unfulfilled,0
SH_1000061,CUST_04477,PROD_161,2025-11-20 15:54:22,3,57.5,25.88,0.0,26.39,Apple Pay,cancelled,0
SH_1000062,CUST_00562,PROD_220,2025-11-21 20:04:37,1,298.5,0.0,5.0,53.73,Gift Card,fulfilled,0
SH_1000063,CUST_06283,PROD_975,2025-04-22 07:19:23,2,46.81,0.0,5.0,16.85,Gift Card,fulfilled,1
SH_1000064,CUST_07718,PROD_285,2025-09-30 22:53:01,5,190.84,143.13,5.0,145.99,PayPal,cancelled,0
SH_1000065,CUST_02421,PROD_769,2025-09-30 12:15:08,1,213.84,21.38,0.0,34.64,PayPal,fulfilled,0
SH_1000066,CUST_07865,PROD_140,2026-01-25 17:39:58,3,137.28,61.78,10.0,63.01,Credit Card,cancelled,0
SH_1000067,CUST_09534,PROD_640,2025-08-28 02:20:14,4,173.6,138.88,10.0,99.99,UPI,fulfilled,0
SH_1000068,CUST_08614,PROD_743,2025-12-29 16:41:52,1,112.21,0.0,0.0,20.2,Apple Pay,fulfilled,0
SH_1000069,CUST_08480,PROD_339,2025-05-23 22:53:46,2,213.91,0.0,5.0,77.01,Gift Card,unfulfilled,0
SH_1000070,CUST_07682,PROD_302,2025-03-06 18:57:21,1,151.16,0.0,5.0,27.21,Apple Pay,fulfilled,0
SH_1000071,CUST_07421,PROD_507,2026-03-15 10:22:02,4,34.17,20.5,0.0,20.91,Credit Card,fulfilled,0
SH_1000072,CUST_03713,PROD_717,2025-03-21 05:58:34,5,39.79,0.0,10.0,35.81,PayPal,fulfilled,0
SH_1000073,CUST_05852,PROD_760,2026-04-06 05:45:15,5,77.7,58.27,5.0,59.44,PayPal,cancelled,0
SH_1000074,CUST_02879,PROD_752,2025-04-16 14:01:01,3,187.06,0.0,0.0,101.01,PayPal,fulfilled,0
SH_1000075,CUST_00714,PROD_609,2025-09-28 00:44:35,5,103.93,51.97,0.0,84.18,Apple Pay,fulfilled,0
SH_1000076,CUST_06050,PROD_983,2025-09-13 09:10:34,2,148.23,29.65,5.0,48.03,UPI,cancelled,0
SH_1000077,CUST_07810,PROD_048,2025-11-19 15:15:56,2,100.72,0.0,10.0,36.26,Credit Card,cancelled,0
SH_1000078,CUST_04486,PROD_376,2026-01-03 00:02:39,4,76.19,45.71,5.0,46.63,Gift Card,fulfilled,0
SH_1000079,CUST_06438,PROD_782,2025-10-07 00:31:03,5,172.9,0.0,0.0,155.61,PayPal,fulfilled,0
SH_1000080,CUST_05992,PROD_562,2025-09-17 07:01:56,1,185.65,18.57,10.0,30.07,Credit Card,cancelled,0
SH_1000081,CUST_00157,PROD_858,2025-07-05 05:55:56,2,188.88,75.55,5.0,54.4,PayPal,cancelled,0
SH_1000082,CUST_08536,PROD_794,2025-10-19 09:24:19,2,250.48,50.1,5.0,81.15,PayPal,fulfilled,0
SH_1000083,CUST_07589,PROD_458,2025-03-19 15:47:33,4,186.06,148.85,10.0,107.17,UPI,fulfilled,0
SH_1000084,CUST_07303,PROD_582,2026-01-04 21:58:35,5,83.28,41.64,0.0,67.46,Apple Pay,fulfilled,0
SH_1000085,CUST_00397,PROD_405,2026-02-13 11:22:24,2,65.98,0.0,0.0,23.75,Apple Pay,fulfilled,0
SH_1000086,CUST_05449,PROD_141,2025-04-28 00:09:03,4,43.49,17.4,5.0,28.18,Gift Card,fulfilled,0
SH_1000087,CUST_03361,PROD_772,2025-04-22 11:59:07,2,66.79,0.0,5.0,24.04,Credit Card,fulfilled,0
SH_1000088,CUST_09510,PROD_719,2025-03-15 20:23:27,3,200.44,90.2,0.0,92.0,Apple Pay,fulfilled,0
SH_1000089,CUST_08839,PROD_881,2026-04-18 10:37:50,3,109.38,0.0,5.0,59.07,UPI,cancelled,0
SH_1000090,CUST_03498,PROD_353,2025-03-12 14:09:17,5,147.48,110.61,5.0,112.82,UPI,fulfilled,0
SH_1000091,CUST_02779,PROD_839,2025-10-17 04:44:55,3,156.75,0.0,5.0,84.64,Apple Pay,cancelled,0
SH_1000092,CUST_03567,PROD_899,2026-02-07 10:07:26,5,15.22,7.61,10.0,12.33,Apple Pay,fulfilled,0
SH_1000093,CUST_07516,PROD_445,2026-03-13 03:52:42,5,176.06,0.0,10.0,158.45,Credit Card,unfulfilled,0
SH_1000094,CUST_00124,PROD_335,2025-09-24 16:44:06,1,165.48,33.1,10.0,23.83,Gift Card,unfulfilled,0
SH_1000095,CUST_08226,PROD_801,2025-04-12 11:53:56,3,72.04,0.0,5.0,38.9,Apple Pay,fulfilled,0
